doc_type	doc_id	num	date_str	description	url_metadata	lang	url_pdf	grade_id	book_id	book_name	chapter_name
lk_edupub	2025-01-01-9-ta-998-grade-9-ta-ii-ii	9-ta-998-grade-9-ta-ii-ii	2025-01-01	(Grade 9/ta) கணிதம் II -   புதிய பாடத்திட்டம்   - கணிதம் II	http://www.edupub.gov.lk/SelectChapter.php	ta	http://www.edupub.gov.lk/Administrator/Tamil/9/maths G-9 P-II T/m G9 PII T.pdf	9	998	கணிதம் II -   புதிய பாடத்திட்டம்  	கணிதம் II
lk_edupub	2025-01-01-9-ta-996-grade-9-ta	9-ta-996-grade-9-ta	2025-01-01	(Grade 9/ta) இஸ்லாம்  -   புதிய பாடத்திட்டம்   - இஸ்லாம்	http://www.edupub.gov.lk/SelectChapter.php	ta	http://www.edupub.gov.lk/Administrator/Tamil/9/islam G9 T/book.pdf	9	996	இஸ்லாம்  -   புதிய பாடத்திட்டம்  	இஸ்லாம்
lk_edupub	2025-01-01-9-ta-994-grade-9-ta	9-ta-994-grade-9-ta	2025-01-01	(Grade 9/ta) கிறிஸ்தவம்  -   புதிய பாடத்திட்டம்   - கிறிஸ்தவம்	http://www.edupub.gov.lk/SelectChapter.php	ta	http://www.edupub.gov.lk/Administrator/Tamil/9/kristhu G9 T/book.pdf	9	994	கிறிஸ்தவம்  -   புதிய பாடத்திட்டம்  	கிறிஸ்தவம்
lk_edupub	2025-01-01-9-ta-993-grade-9-ta	9-ta-993-grade-9-ta	2025-01-01	(Grade 9/ta) தமிழ் மொழியும் இலக்கியமும்  -  புதிய பாடத்திட்டம்   - தமிழ் மொழியும் இலக்கியமும்	http://www.edupub.gov.lk/SelectChapter.php	ta	http://www.edupub.gov.lk/Administrator/Tamil/9/tamil Lan.G9/book.pdf	9	993	தமிழ் மொழியும் இலக்கியமும்  -  புதிய பாடத்திட்டம்  	தமிழ் மொழியும் இலக்கியமும்
lk_edupub	2025-01-01-9-ta-990-grade-9-ta-1-i	9-ta-990-grade-9-ta-1-i	2025-01-01	(Grade 9/ta) விஞ்ஞானம் 1 -  புதிய பாடத்திட்டம் - விஞ்ஞானம்  - பகுதி -  I	http://www.edupub.gov.lk/SelectChapter.php	ta	http://www.edupub.gov.lk/Administrator/Tamil/9/science G9 PI T/1.pdf	9	990	விஞ்ஞானம் 1 -  புதிய பாடத்திட்டம்	விஞ்ஞானம்  - பகுதி -  I
lk_edupub	2025-01-01-9-ta-519-grade-9-ta-05	9-ta-519-grade-9-ta-05	2025-01-01	(Grade 9/ta) வரலாறு  - 05 குடியேற்றவாதப் பரம்பல்	http://www.edupub.gov.lk/SelectChapter.php	ta	http://www.edupub.gov.lk/Administrator/Tamil/9/history G-9 T/chapter 05.pdf	9	519	வரலாறு 	05 குடியேற்றவாதப் பரம்பல்
lk_edupub	2025-01-01-9-ta-519-grade-9-ta-04	9-ta-519-grade-9-ta-04	2025-01-01	(Grade 9/ta) வரலாறு  - 04 சுதந்திரத்தின் பின்னர் இலங்கையின் அரசியல் வளர்ச்சி	http://www.edupub.gov.lk/SelectChapter.php	ta	http://www.edupub.gov.lk/Administrator/Tamil/9/history G-9 T/Chapter 04.pdf	9	519	வரலாறு 	04 சுதந்திரத்தின் பின்னர் இலங்கையின் அரசியல் வளர்ச்சி
lk_edupub	2025-01-01-9-ta-519-grade-9-ta-03	9-ta-519-grade-9-ta-03	2025-01-01	(Grade 9/ta) வரலாறு  - 03 இலங்கையின் சமய, அரசியல் மறுமலர்ச்சி	http://www.edupub.gov.lk/SelectChapter.php	ta	http://www.edupub.gov.lk/Administrator/Tamil/9/history G-9 T/Chapter 03.pdf	9	519	வரலாறு 	03 இலங்கையின் சமய, அரசியல் மறுமலர்ச்சி
lk_edupub	2025-01-01-9-ta-519-grade-9-ta-02	9-ta-519-grade-9-ta-02	2025-01-01	(Grade 9/ta) வரலாறு  - 02 இலங்கையின் பாராளுமன்ற ஆட்சி முறையில் வளர்ச்சி	http://www.edupub.gov.lk/SelectChapter.php	ta	http://www.edupub.gov.lk/Administrator/Tamil/9/history G-9 T/chapter 2.pdf	9	519	வரலாறு 	02 இலங்கையின் பாராளுமன்ற ஆட்சி முறையில் வளர்ச்சி
lk_edupub	2025-01-01-9-ta-519-grade-9-ta-01	9-ta-519-grade-9-ta-01	2025-01-01	(Grade 9/ta) வரலாறு  - 01 பிரித்தானியரின் இலங்கை வருகையும் ஆட்சியை நிலை நிறுத்திக் கொள்ளலும்	http://www.edupub.gov.lk/SelectChapter.php	ta	http://www.edupub.gov.lk/Administrator/Tamil/9/history G-9 T/Chapter 01.pdf	9	519	வரலாறு 	01 பிரித்தானியரின் இலங்கை வருகையும் ஆட்சியை நிலை நிறுத்திக் கொள்ளலும்
